"Facity Name","id","Opening Date","Sector","Subdistrict","District","Province","District","Facility type","Ownership","LOCATION"
"Prison Karubanda Pris (Butare","90","1/1/2011","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","Prison Clinic","Public","-2.5905 29.7394"
"Prison Kibungo Pris","596","1/1/2011","Kibungo","Kibungo Sub District","Ngoma District","East","Ngoma District","Prison Clinic","Public","-2.1631 30.5412"
"Prison Kimironko(Remera Pris)","27","1/1/2011","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Prison Clinic","Public","-1.9392 30.1313"
"Prison Miyove","1102","1/1/1900","Miyove","Byumba Sub District","Gicumbi District","North","Gicumbi District","Prison Clinic","Public","-1.61475 30.004529"
"Prison Mpanga Pris (nyanza)","50","1/1/2011","Mukingo","Nyanza Sub District","Nyanza District","South","Nyanza District","Prison Clinic","Public","-2.3022 29.7178"
"Prison Nsinda Pris","550","1/1/2011","Muhazi","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Prison Clinic","Public","-1.9229 30.4517"
"Prison Nyanza Pris (nyanza)","51","1/1/2011","Mukingo","Nyanza Sub District","Nyanza District","South","Nyanza District","Prison Clinic","Public","-2.353 29.7529"
"Prison Rilima Prison DISP","456","1/1/2011","Ririma","Nyamata Sub District","Bugesera District","East","Bugesera District","Dispensary","Public","-2.17997 30.2239"
"Prison Rilima Prison DISP","456","1/1/2011","Ririma","Nyamata Sub District","Bugesera District","East","Bugesera District","Prison Clinic","Public","-2.17997 30.2239"
"Prison Ruhengeri DISP","536","1/1/2011","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","Prison Clinic","Public","-1.5068 29.6346"
"Prison Rusizi","584","1/1/2011","Kamembe","Gihundwe Sub District","Rusizi District","West","Rusizi District","Prison Clinic","Public","-2.489526 28.898971"
"Project San Francisco Prive DI","1236","1/1/1900","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.952411 30.061469"
"Proomnibus Clinic","1539","1/21/2014","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","Medical Clinic","Private",""
"PSI/Rwanda","1332","1/1/1900","Kacyiru","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Administrative Office","Private","-1.947825 30.092877"
"Raba HP","1778","1/1/2017","Minazi","Ruli Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.712548 29.816281"
"RAKAI Health care DISP","1410","1/1/1900","KARANGAZI","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"Ramba CS","233","1/1/2011","KAVUMU","Kabaya Sub District","Ngororero District","West","Ngororero District","Health Center","Public","-1.876 29.5295"
"Rambura CS","218","1/1/2011","Rambura","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Agree","-1.6795 29.5208"
"Ramiro HP","1697","1/1/2017","Gashora","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.250325 30.218646"
"Ramuka DISP","1193","1/1/1970","Kinyinya","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private","-1.918358 30.078862"
"Rangiro CS","268","1/1/2011","Rangiro","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Public","-2.407 29.1664"
"Rango CS","91","1/1/2011","Tumba","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.6388 29.7458"
"Rango HP","1703","1/1/2017","Mareba","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Public","-2.281286 30.041733"
"Rapha Clinic","1582","3/27/2014","Runda","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Medical Clinic","Private",""
"Rapha DISP","1411","1/1/1900","NYAGATARE","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"Rapha Medical Clinic","1691","3/28/2017","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"RASANO HP","2119","1/1/2017","Bweyeye","Gihundwe Sub District","Rusizi District","West","Rusizi District","Health Post","Public","-2.591358 29.17359"
"RBC - National Malaria Control","1333","1/1/1900","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Administrative Office","","-1.957628 30.111468"
"RBC - National Tuberculosis Co","1334","1/1/1900","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Administrative Office","","-1.957628 30.111468"
"RBC-National HIV control Progr","1356","1/1/1900","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Administrative Office","",""
"Rehoboth Disp","1551","1/15/2014","Rwezamenyo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private",""
"Remera (Gasabo) CS","23","1/1/2011","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Public","-1.9514 30.1261"
"Remera (Ngoma) CS","440","1/1/2011","Remera (Ngoma  District)","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Public","-2.081 30.556"
"REMERA HP","2132","1/1/2017","Rusebeya","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Post","Public","-1.896266 29.466933"
"Remera Rukoma CS","152","1/1/2011","Rukoma","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Center","Agree","-1.9387 29.9099"
"Remera Rukoma DH","153","1/1/2011","Rukoma","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","District Hospital","Public","-1.9387 29.9099"
"Remera-mbogo CS","278","1/1/2011","NGOMA","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Public","-1.786 30.0029"
"Rengerwa DISP","1209","1/1/2011","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Rilima CS","457","1/1/2011","Ririma","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Center","Agree","-2.157876 30.229906"
"Rilima Orthopedic Center","1359","1/1/1900","Ririma","Nyamata Sub District","Bugesera District","East","Bugesera District","Other facility type","Private",""
"Rubavu DP","1091","1/1/1900","Gisenyi","Gisenyi Sub District","Rubavu District","West","Rubavu District","District Pharmacy","Public","-1.700713 29.258859"
"Rubavu Youth Friendly Center","1312","1/1/1900","Rugerero","Gisenyi Sub District","Rubavu District","West","Rubavu District","VCT center","Private","-1.689201 29.295155"
"Rubaya (gicumbi) CS","348","1/1/2011","Rubaya","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.4639 29.9968"
"Rubaya (ngororera) CS","234","1/1/2011","MUHANDA","Kabaya Sub District","Ngororero District","West","Ngororero District","Health Center","Public","-1.7765 29.5032"
"Rubazo HP","1890","1/1/2017","Rwankuba","Kibuye Sub District","Karongi District","West","Karongi District","Health Post","Public","-2.147986 29.360105"
"Rubazo Poste secondaire","1891","1/1/2017","Rwankuba","Kibuye Sub District","Karongi District","West","Karongi District","Health Post level 2","Public","-2.14802 29.360089"
"Rubengera CS","174","1/1/2011","Rubengera","Kibuye Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.041 29.4131"
"RUBONA (BWERAMANA) HP","2094","1/1/2017","Bweramana","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Post","Public","-2.223382 29.71292"
"Rubona (huye) CS","92","1/1/2011","Rusatira","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.477 29.7682"
"Rubona (ngoma) CS","628","1/1/2008","Kibungo","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Public",""
"Rubona (ngororera) CS","235","1/1/2011","GATUMBA","Muhororo Sub District","Ngororero District","West","Ngororero District","Health Center","Public","-1.961 29.6524"
"RUBONA (NYAMYUMBA) HP","2082","1/1/2017","Nyamyumba","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Post","Public","-1.720138 29.270785"
"Rubona (rwamagana) CS","362","1/1/2011","Rubona","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Public","-2.0386 30.3967"
"Rubona HP","1519","1/1/1900","Kiziguro","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Private",""
"Rubungo CS","28","1/1/2011","Ndera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Agree","-1.946 30.1738"
"Rufungo CS","175","1/1/2011","Rugabano","Kibuye Sub District","Karongi District","West","Karongi District","Health Center","Public","-2.0677 29.5377"
"Rugabano CS","176","1/1/2011","Rugabano","Kibuye Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.1019 29.4851"
"Rugali HP","1755","1/1/2017","Rwerere","Butaro Sub District","Burera District","North","Burera District","Health Post","Agree","-1.534942 29.868676"
"Rugarama (gatsibo) CS","401","1/1/2011","Rugarama (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.7004 30.4106"
"Rugarama (KIGINA) HP","1919","1/1/2017","Kigina","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Post","Public","-2.244902 30.698061"
"Rugarama (nyarugenge) CS","11","1/1/2011","Nyamirambo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Center","Public","-1.992 30.0434"
"Rugarama (RUGARAMA) HP","1756","1/1/2017","Rugarama","Butaro Sub District","Burera District","North","Burera District","Health Post","Private","-1.404126 29.73724"
"Rugarama CS","1641","5/5/2015","Rugarama","Butaro Sub District","Burera District","North","Burera District","Health Center","",""
"Rugari FOSACOM","476","1/1/2011","SOVU","Kabaya Sub District","Ngororero District","West","Ngororero District","Community-owned health facility","Community","-1.904961 29.544742"
"Rugege CS","112","1/1/2011","Gatare","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Agree","-2.3683 29.3814"
"Rugendabali CS","1321","4/19/2013","Rugendabari","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Center","Public",""
"Rugengabali HP","1757","1/1/2017","Rugengabari","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.55208 29.815999"
"Rugeshi HP","1951","1/1/2017","Nkotsi","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Agree","-1.57356 29.609743"
"RUGOGWE HP","2066","1/1/2017","Ruramba","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Post","Public","-2.57879 29.497842"
"Rugunga HP","1707","1/1/2017","Mwogo","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Public","-2.050204 30.159284"
"Ruhanga HP","1758","1/1/2017","Rusarabuye","Butaro Sub District","Burera District","North","Burera District","Health Post","Private","-1.47143 29.84498"
"Ruhango (Gisozi) PS","1601","1/1/1970","Gisozi","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","",""
"Ruhango (RONGI) HP","1938","1/1/2017","Rongi","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-1.812842 29.714395"
"Ruhango CS","126","1/1/2011","Ruhango","Ruhango Sub District","Ruhango District","South","Ruhango District","Health Center","Agree","-2.22 29.7814"
"Ruhango DP","1072","1/1/1900","Ruhango","Ruhango Sub District","Ruhango District","South","Ruhango District","District Pharmacy","Public","-2.261913 29.792967"
"Ruhango PH","1277","6/5/2012","Kinazi (Ruhango  District)","Ruhango Sub District","Ruhango District","South","Ruhango District","Provincial Hospital","Public","-2.193747 29.905526"
"Ruhashya CS","93","1/1/2011","Ruhashya","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.4797 29.7293"
"Ruhembe Poste secondaire","1964","1/1/2017","Zaza","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Post level 2","Public","-2.162046 30.431804"
"Ruhenda CS","349","1/1/2011","Byumba","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.554 30.0447"
"Ruhengeri RH","317","1/1/2011","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","Referral Hospital","Public","-1.5058 29.6367"
"Ruheru (kanjongo Nyamasheke) C","269","1/1/2011","Kanjongo","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Agree","-2.3519 29.17"
"Ruheru CS","78","1/1/2011","Ruheru","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Agree","-2.7476 29.454"
"Ruhinga PS","504","1/1/2011","Kivuruga","Nemba Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.632194 29.754444"
"Ruhombo CS","1279","8/6/2012","Gitovu","Butaro Sub District","Burera District","North","Burera District","Health Center","Public","-1.509957 29.773993"
"Ruhuha (RUHUHA) HP","1722","1/1/2017","Ruhuha","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.308169 30.053461"
"Ruhuha CS","458","1/1/2011","Ruhuha","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Center","Agree","-2.3102 30.054567"
"Ruhuha HP","1520","1/1/1900","Kabarore","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Private",""
"Ruhuka DISP","1521","1/1/1900","Nyakabuye","Mibilizi Sub District","Rusizi District","West","Rusizi District","Dispensary","Private",""
"Ruhunda CS","363","1/1/2011","Gishali","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Public","-1.9005 30.4125"
"Ruhunde CS","331","1/1/2011","Ruhunde","Butaro Sub District","Burera District","North","Burera District","Health Center","Public","-1.5733 29.9416"
"Ruhunga Fosacom","635","1/1/2011","NGORORERO","Muhororo Sub District","Ngororero District","West","Ngororero District","Community-owned health facility","Community","-1.864388 29.644358"
"Rukambura HP","1879","1/1/2017","Musambira","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Public","-1.998036 29.846069"
"Rukara CS","413","1/1/2011","Rukara","Gahini Sub District","Kayonza District","East","Kayonza District","Health Center","Agree","-1.79744 30.50296"
"Rukara Poste secondaire","1898","1/1/2017","Rukara","Gahini Sub District","Kayonza District","East","Kayonza District","Health Post level 2","Public","-1.79969 30.50523"
"Rukira CS","441","1/1/2011","Murama (Ngoma  District)","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Agree","-2.1997 30.5881"
"Rukira HP","1855","1/1/2017","Huye","Kabutare Sub District","Huye District","South","Huye District","Health Post","Public","-2.585313 29.713228"
"Rukira Poste secondaire","1856","1/1/2017","Huye","Kabutare Sub District","Huye District","South","Huye District","Health Post level 2","Public","-2.584703 29.71375"
"Rukoma Poste secondaire","1965","1/1/2017","Sake","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Post level 2","Public","-2.225256 30.390417"
"Rukoma Sake CS","442","1/1/2011","Sake","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Agree","-2.2165 30.3854"
"Rukomo CS","382","1/1/2011","RUKOMO","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.3789 30.2509"
"Rukomo HP","1826","1/1/2017","Rukomo","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Agree","-1.629184 30.103719"
"RUKORE HP","2067","1/1/2017","Muganza (Nyaruguru District)","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Post","Public","-2.651123 29.442457"
"Rukozo CS","279","1/1/2011","RUKOZO","Kinihira Sub District","Rulindo District","North","Rulindo District","Health Center","Agree","-1.6236 29.948"
"Rukumberi CS","443","1/1/2011","Rukumberi","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Public","-2.175 30.3265"
"Rukura CS","300","1/1/2011","Gashenyi","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.696 29.8292"
"Ruli CS","301","1/1/2011","Ruli","Ruli Sub District","Gakenke District","North","Gakenke District","Health Center","Agree","-1.71277 29.86142"
"Ruli CS","301","1/1/2011","Ruli","Ruli Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.71277 29.86142"
"Ruli DH","302","1/1/2011","Ruli","Ruli Sub District","Gakenke District","North","Gakenke District","District Hospital","Public","-1.8296 29.8494"
"Ruli Poste secondaire","1779","1/1/2017","Ruli","Ruli Sub District","Gakenke District","North","Gakenke District","Health Post level 2","Public","-1.82562 29.84876"
"Rulindo CS","280","1/1/2011","MBOGO","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Public","-1.7253 29.9307"
"Rulindo DP","1082","1/1/1900","BUSHOKI","Kinihira Sub District","Rulindo District","North","Rulindo District","District Pharmacy","Public","-1.7303 29.9185"
"Runconsho HP","1759","1/1/2017","Rwerere","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.5294 29.881626"
"Runoga HP","1760","1/1/2017","Gitovu","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.523478 29.785631"
"Runyombyi CS","79","1/1/2011","Busanze","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Agree","-2.7798 29.535"
"Ruramba CS","80","1/1/2011","Ruramba","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Agree","-2.5597 29.5396"
"RURAMBA Poste secondaire","2068","1/1/2017","Ruramba","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Post level 2","Public","-2.558872 29.535913"
"Ruramira CS","414","1/1/2011","Ruramira","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Center","Public","-1.9815 30.5041"
"Rurembo CS","219","1/1/2011","Rurembo","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Public","-1.6596 29.5751"
"Rurembo HP","1761","1/1/2017","Rugarama","Butaro Sub District","Burera District","North","Burera District","Health Post","Agree","-1.419618 29.746775"
"Rurenge CS","383","1/1/2011","RUKOMO","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.3323 30.2771"
"Rusasa CS","332","1/1/2011","Kivuye","Butaro Sub District","Burera District","North","Burera District","Health Center","Public","-1.4511 29.8704"
"Rusasa Poste secondaire","1762","1/1/2017","Kivuye","Butaro Sub District","Burera District","North","Burera District","Health Post level 2","Public","-1.46485 29.88442"
"Rusatira-kinazi CS","94","1/1/2011","Rusatira","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.4318 29.7744"
"Rusave PS","1620","1/1/1970","Murama","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Post","",""
"RUSENGE HP","2069","1/1/2017","Rusenge","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Post","Public","-2.678068 29.636187"
"Rushaki CS","350","1/1/2011","Rushaki","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Agree","-1.455 30.0914"
"Rushaki Poste secondaire","1827","1/1/2017","Rushaki","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post level 2","Public","-1.44657 30.08614"
"Rushashi CS","303","1/1/2011","Rushashi","Ruli Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.7259 29.8581"
"Rushenyi HP","1522","1/1/1900","Kabare","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Post","Public",""
"Rusheshe HP","1908","1/1/2017","Masaka","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Post","Public","-2.026379 30.196896"
"Rusizi CS","251","1/1/2011","Mururu","Gihundwe Sub District","Rusizi District","West","Rusizi District","Health Center","Agree","-2.493 28.893"
"Rusizi DP","1099","1/1/2011","Kamembe","Gihundwe Sub District","Rusizi District","West","Rusizi District","District Pharmacy","Public",""
"Rusizi Military Clinic","1669","5/15/2015","Kamembe","Gihundwe Sub District","Rusizi District","West","Rusizi District","Medical Clinic","Private",""
"Rusoro CS","304","1/1/2011","Muzo","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.71226 29.67948"
"Rusumo CS","432","1/1/2011","Nyamugari","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Center","Agree","-2.2834 30.756"
"Rusumo HP","1828","1/1/2017","Mutete","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Agree","-1.673237 30.091564"
"Rususa CS","236","1/1/2011","NGORORERO","Muhororo Sub District","Ngororero District","West","Ngororero District","Health Center","Agree","-1.8409 29.6309"
"RUSUSA HP","1997","1/1/2017","Kamegeri","Kigeme Sub District","Nyamagabe District","South","Nyamagabe District","Health Post","Public","-2.535351 29.557492"
"RUSUZUMIRO HP","2070","1/1/2017","Kivu","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Post","Public","-2.623535 29.484874"
"Rutabo HP","1780","1/1/2017","Gashenyi","Nemba Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.614397 29.863512"
"Rutake CS","305","1/1/2011","Janja","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.67304 29.72338"
"Rutaraka HP","1523","1/1/1900","NYAGATARE","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Public",""
"Rutare (gicumbi) CS","351","1/1/2011","Rutare","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.7307 30.1771"
"Rutare (kayonza) CS","415","1/1/2011","Mukarange (Kayonza District)","Gahini Sub District","Kayonza District","East","Kayonza District","Health Center","Public","-1.9254 30.5554"
"Rutenderi CS","306","1/1/2011","Gashenyi","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.6665 29.852"
"Rutete HP","1726","1/1/2017","Rweru","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Public","-2.337846 30.211489"
"Rutobwe CS","140","1/1/2011","Cyeza","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Center","Public","-1.97437 29.80007"
"Rutonde CS","281","1/1/2011","SHYORONGI","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Agree","-1.8984 29.9672"
"Rutonde Poste secondaire","1532","1/1/1900","SHYORONGI","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Post level 2","Public",""
"Rutongo DH","282","1/1/2011","NGOMA","Rutongo Sub District","Rulindo District","North","Rulindo District","District Hospital","Public","-1.8148 30.0598"
"Rutongo HP","1939","1/1/2017","Kabacuzi","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-1.960084 29.761301"
"Rutovu HP","1763","1/1/2017","Kinyababa","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.345158 29.820443"
"Rutsiro CS","194","1/1/2011","Manihira","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Public","-1.9152 29.457"
"Rutsiro DP","1093","1/1/1900","Gihango","Murunda Sub District","Rutsiro District","West","Rutsiro District","District Pharmacy","Public","-1.96049 29.385628"
"Rutsiro Youth Friendly Center","1327","1/1/1900","Ruhango (Rutsiro  District)","Murunda Sub District","Rutsiro District","West","Rutsiro District","VCT center","Private",""
"Rutunga HP","1524","1/1/1900","Rutunga","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public",""
"Ruvumera Disp","1433","1/1/2002","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","Dispensary","Private",""
"Ruvune CS","1345","7/1/2013","Ruvune","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public",""
"Ruyange HP","1764","1/1/2017","Cyeru","Butaro Sub District","Burera District","North","Burera District","Health Post","Agree","-1.491298 29.808651"
"Ruyenzi CS","52","1/1/2011","Ntyazo","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Center","Agree","-2.4249 29.8301"
"Rwagihura HP","1829","1/1/2017","Nyankenke","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Public","-1.607074 30.019673"
"Rwahi CS","283","1/1/2011","SHYORONGI","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Agree","-1.8602 29.9224"
"Rwamagana CS","364","1/1/2011","Kigabiro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Public","-1.9507 30.4326"
"Rwamagana DP","1078","1/1/2011","Kigabiro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","District Pharmacy","Public",""
"Rwamagana PH","365","1/1/2011","Kigabiro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Provincial Hospital","Public","-1.9503 30.4331"
"Rwamagana School Nursing and M","1353","1/1/2005","Kigabiro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Nursing School","Public",""
"RWAMPARA Poste secondaire","2053","1/1/2017","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Post level 2","Public","-1.96966 30.059881"
"Rwanda Eye Clin","1225","6/1/2008","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private",""
"Rwanda Military Hospital","34","1/1/2011","Nyarugunga","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Referral Hospital","Public","-1.9787 30.1678"
"Rwanda Women's Network CS","1229","1/1/1900","Kinyinya","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Agree","-1.918283 30.09308"
"Rwaniro CS","95","1/1/2011","Rwaniro","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.4589 29.7151"
"Rwankeri CS","220","1/1/2011","Mukamira","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Agree","-1.586 29.5344"
"Rwankuba CS","307","1/1/2011","Rushashi","Ruli Sub District","Gakenke District","North","Gakenke District","Health Center","Agree","-1.7587 29.8639"
"Rwankuba HP","1811","1/1/2017","Murambi (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Public","-1.848777 30.347281"
"Rwantonde CS","1325","1/1/2012","Gatore","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Center","Public",""
"Rwanyamuhanga HP","1920","1/1/2017","Mushikiri","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Post","Public","-2.219482 30.589833"
"Rwasa HP","1765","1/1/2017","Gatebe","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.509897 29.926255"
"Rwaza CS","318","1/1/2011","Rwaza","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Center","Agree","-1.545 29.693"
"RWAZA HP","1977","1/1/2017","Rurembo","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Post","Public","-1.675102 29.562306"
"Rwaza Poste secondaire","1644","7/16/2015","Rwaza","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post level 2","",""
"Rwembogo CS","402","1/1/2011","Rwimbogo (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Agree","-1.60716 30.50248"
"Rwembogo CS","402","1/1/2011","Rwimbogo (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.60716 30.50248"
"Rwempasha CS","384","1/1/2011","RWEMPASHA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.2208 30.3031"
"Rwerere CS","505","1/1/2011","Rwerere","Butaro Sub District","Burera District","North","Burera District","Health Center","Agree","-1.50141 29.86947"
"RWESERO (BUSASAMANA) HP","2043","1/1/2017","Busasamana","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Public","-2.364314 29.730845"
"RWESERO (KABAGALI) HP","2095","1/1/2017","Kabagali","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Post","Public","-2.227465 29.584279"
"Rwesero CS","352","1/1/2011","Rwamiko","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Agree","-1.7993 30.1766"
"Rwesero Poste secondaire","1830","1/1/2017","Rwamiko","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post level 2","Public","-1.79791 30.17649"
"RWIMBOGO HP","2138","1/1/2017","Nyakaliro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Post","Public","-2.070459 30.268814"
"Rwimishinya HP","1899","1/1/2017","Rukara","Gahini Sub District","Kayonza District","East","Kayonza District","Health Post","Public","-1.778828 30.459856"
